eef,marker
"-30.126, -660.42, 448.973,-0.752633, 0.6582307, -0.016531, 0.001613",  "-0.12217077252546259,-0.16008127491048793,0.7388540353002107,0.21611682636417037,0.96841463084638,0.12227705948797282,0.022692308122428215"
" 28.7,   -660.421,448.974,-0.752631, 0.6582329, -0.0165344,0.0016157","-0.09351186361597456,-0.1788639379952649,0.7393413545087618,0.27346441363956425,0.9538754108451909,0.12006333697385131,0.03039260061908814"
" 28.051, -670.252,504.137,-0.752631, 0.6582329, -0.016537, 0.001613",  "-0.15257204779165917,-0.14863765568511317,0.7230072440459858,0.16055843386945615,0.9845063753761425,0.07009568026314077,0.007401470500172548"
" 30.463, -649.334,452.054,-0.7526321,0.6582318, -0.016533, 0.001613",  "-0.14450429485408448,-0.12202983344825681,0.7175004519635082,0.15947048327594182,0.9795689625569773,0.12162661310010704,0.014858652179185378"
" 29.525, -622.752,452.054,-0.752285, 0.6573412, -0.0379959,-0.0229371",  "-0.10542748086632678,-0.12313125979346105,0.7277652520783208,0.21407275506512305,0.9567772040042103,0.1939154467686966,0.033867933819621644"
"-77.623, -607.544,452.054,-0.748882, 0.6575771, -0.080947, 0.0146849",  "-0.08155173904435835,-0.12326600042085797,0.6893101164908915,0.24761587168931132,0.9595573417100747,0.13106953282217965,0.027511190879584535"
"-151.151,-615.188,406.158,-0.742513, 0.6554408, -0.126693, 0.054961",  "-0.11477578394520159,-0.1569963590269647,0.7607118527327661,0.22198740811786663,0.9539545098929743,0.1981164835073285,0.03797686999553219"
"-151.151,-637.99, 444.815,-0.78983,  0.597576,  -0.122186, 0.064359",  "-0.09332872747453512,-0.17557454469887948,0.7109917682623721,0.2726885595593165,0.9607804201828277,0.048612655457207846,0.013369495434490567"
"-151.153,-796.713,420.961,-0.6863948,0.7093353, -0.0306331,0.1573758",  "-0.09332872747453512,-0.17557454469887948,0.7109917682623721,0.2726885595593165,0.9607804201828277,0.048612655457207846,0.013369495434490567"
"-215.684,-681.169,420.961, 0.693291,-0.6991846, -0.1229541,0.123979",  "-0.09332872747453512,-0.17557454469887948,0.7109917682623721,0.2726885595593165,0.9607804201828277,0.048612655457207846,0.013369495434490567"
